연월,접수건수
2012-05,124
2012-06,2264
2012-07,2695
2012-08,2669
2012-09,3077
2012-10,2598
2012-11,3408
2012-12,3223
2013-01,2848
2013-02,2471
2013-03,2885
2013-04,3061
2013-05,3630
2013-06,2927
2013-07,3376
2013-08,3547
2013-09,2659
2013-10,3311
2013-11,2876
2013-12,3416
2014-01,2597
2014-02,2543
2014-03,3982
2014-04,3197
2014-05,2497
2014-06,2800
2014-07,2912
2014-08,3108
2014-09,2919
2014-10,2752
2014-11,2623
2014-12,3547
2015-01,2687
2015-02,2651
2015-03,2996
2015-04,3269
2015-05,2668
2015-06,3056
2015-07,3259
2015-08,2710
2015-09,2758
2015-10,2735
2015-11,4067
2015-12,3306
2016-01,2882
2016-02,2086
2016-03,2681
2016-04,2986
2016-05,2751
2016-06,2998
2016-07,3255
2016-08,2951
2016-09,3356
2016-10,3358
2016-11,3930
2016-12,4535
2017-01,2900
2017-02,2638
2017-03,3429
2017-04,3063
2017-05,2716
2017-06,2927
2017-07,4331
2017-08,2987
2017-09,3163
2017-10,2457
2017-11,4072
2017-12,3563
2018-01,2907
2018-02,2482
2018-03,3626
2018-04,3124
2018-05,3135
2018-06,3052
2018-07,2827
2018-08,2981
2018-09,2447
2018-10,3164
2018-11,3503
2018-12,3470
2019-01,3191
2019-02,2335
2019-03,3367
2019-04,4221
2019-05,3281
2019-06,3029
2019-07,3487
2019-08,2909
2019-09,3007
2019-10,3232
2019-11,3491
2019-12,4040
2020-01,2783
2020-02,2709
2020-03,3228
2020-04,3288
2020-05,2980
2020-06,3250
2020-07,3439
2020-08,2697
2020-09,3053
2020-10,3021
2020-11,3128
2020-12,3664
2021-01,3017
2021-02,2648
2021-03,3663
2021-04,3263
2021-05,2848
2021-06,3444
2021-07,2997
2021-08,2959
2021-09,2834
2021-10,3501
2021-11,3474
2021-12,3461
2022-01,3082
2022-02,2176
2022-03,2829
2022-04,2808
2022-05,2529
2022-06,2673
2022-07,2835
2022-08,3043
2022-09,2717
2022-10,2745
2022-11,3639
2022-12,2923
2023-01,2382
2023-02,2809
