사업구분명,m,count
CB/IECEx인증,1,1613
CB/IECEx인증,2,1248
CB/IECEx인증,3,1422
CB/IECEx인증,4,1341
CB/IECEx인증,5,1097
CB/IECEx인증,6,1459
CB/IECEx인증,7,1651
CB/IECEx인증,8,1390
CB/IECEx인증,9,1567
CB/IECEx인증,10,1306
CB/IECEx인증,11,1480
CB/IECEx인증,12,2401
GMP,1,4
GMP,2,16
GMP,3,15
GMP,4,30
GMP,5,40
GMP,6,45
GMP,7,52
GMP,8,36
GMP,9,32
공산품안전인증,1,331
공산품안전인증,2,169
공산품안전인증,3,338
공산품안전인증,4,195
공산품안전인증,5,227
공산품안전인증,6,266
공산품안전인증,7,404
공산품안전인증,8,436
공산품안전인증,9,279
공산품안전인증,10,263
공산품안전인증,11,261
공산품안전인증,12,286
기간산업,1,6090
기간산업,2,5467
기간산업,3,6365
기간산업,4,6361
기간산업,5,5909
기간산업,6,6956
기간산업,7,7055
기간산업,8,6713
기간산업,9,6220
기간산업,10,6783
기간산업,11,9671
기간산업,12,7996
기업지원,1,3280
기업지원,2,3603
기업지원,3,5070
기업지원,4,5072
기업지원,5,4117
기업지원,6,4748
기업지원,7,5075
기업지원,8,3989
기업지원,9,5471
기업지원,10,5497
기업지원,11,5237
기업지원,12,6324
방폭인증,1,2553
방폭인증,2,2215
방폭인증,3,2453
방폭인증,4,2086
방폭인증,5,1977
방폭인증,6,1962
방폭인증,7,2716
방폭인증,8,2797
방폭인증,9,1975
방폭인증,10,2252
방폭인증,11,2569
방폭인증,12,2988
승강기인증,1,732
승강기인증,2,757
승강기인증,3,967
승강기인증,4,733
승강기인증,5,887
승강기인증,6,605
승강기인증,7,627
승강기인증,8,687
승강기인증,9,688
승강기인증,10,561
승강기인증,11,955
승강기인증,12,823
전기인증,1,16436
전기인증,2,13906
전기인증,3,16015
전기인증,4,16401
전기인증,5,14769
전기인증,6,16248
전기인증,7,17730
전기인증,8,16361
전기인증,9,15653
전기인증,10,16076
전기인증,11,17926
전기인증,12,18187
표준,1,75488
표준,2,76360
표준,3,99243
표준,4,96016
표준,5,90789
표준,6,95859
표준,7,101291
표준,8,85338
표준,9,84656
표준,10,90529
표준,11,87218
표준,12,65788
형식승인,1,237
형식승인,2,167
형식승인,3,41
형식승인,4,61
형식승인,5,136
형식승인,6,131
형식승인,7,103
형식승인,8,152
형식승인,9,105
형식승인,10,136
형식승인,11,112
형식승인,12,143
