사업구분명,y,count
CB/IECEx인증,2012,990
CB/IECEx인증,2013,1655
CB/IECEx인증,2014,1890
CB/IECEx인증,2015,1806
CB/IECEx인증,2016,2264
CB/IECEx인증,2017,1060
CB/IECEx인증,2018,1276
CB/IECEx인증,2019,1709
CB/IECEx인증,2020,1793
CB/IECEx인증,2021,1702
CB/IECEx인증,2022,1630
CB/IECEx인증,2023,200
GMP,2021,270
공산품안전인증,2012,741
공산품안전인증,2013,552
공산품안전인증,2014,456
공산품안전인증,2015,439
공산품안전인증,2016,289
공산품안전인증,2017,241
공산품안전인증,2018,254
공산품안전인증,2019,210
공산품안전인증,2020,77
공산품안전인증,2021,69
공산품안전인증,2022,114
공산품안전인증,2023,13
기간산업,2012,3752
기간산업,2013,7229
기간산업,2014,7723
기간산업,2015,7398
기간산업,2016,7191
기간산업,2017,8524
기간산업,2018,7775
기간산업,2019,8144
기간산업,2020,7737
기간산업,2021,7485
기간산업,2022,7487
기간산업,2023,1141
기업지원,2012,3421
기업지원,2013,6521
기업지원,2014,5193
기업지원,2015,5653
기업지원,2016,5671
기업지원,2017,6070
기업지원,2018,5376
기업지원,2019,5190
기업지원,2020,5041
기업지원,2021,4346
기업지원,2022,4361
기업지원,2023,640
방폭인증,2012,421
방폭인증,2013,1253
방폭인증,2014,2064
방폭인증,2015,1200
방폭인증,2016,1867
방폭인증,2017,1940
방폭인증,2018,2475
방폭인증,2019,4185
방폭인증,2020,4187
방폭인증,2021,4302
방폭인증,2022,3956
방폭인증,2023,693
승강기인증,2012,375
승강기인증,2013,1262
승강기인증,2014,1074
승강기인증,2015,1429
승강기인증,2016,1169
승강기인증,2017,1342
승강기인증,2018,1373
승강기인증,2019,976
승강기인증,2020,19
승강기인증,2023,3
전기인증,2012,10358
전기인증,2013,18535
전기인증,2014,17077
전기인증,2015,18237
전기인증,2016,19318
전기인증,2017,19069
전기인증,2018,18189
전기인증,2019,19173
전기인증,2020,18184
전기인증,2021,19398
전기인증,2022,15794
전기인증,2023,2376
표준,2006,90642
표준,2007,102862
표준,2008,102906
표준,2009,98264
표준,2010,101481
표준,2011,105883
표준,2012,110746
표준,2013,109061
표준,2014,115851
표준,2015,110879
형식승인,2019,3
형식승인,2020,202
형식승인,2021,537
형식승인,2022,657
형식승인,2023,125
