사업구분명,단위사업중분류명,count,mean,median,std
CB/IECEx인증,IECEE-CB인증시험,17815,28.17,15.0,39.44
CB/IECEx인증,디지털산업 일반시험,1,2.0,2.0,
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,4,25.75,27.0,12.04
CB/IECEx인증,전기용품안전인증(KC)시험,1,30.0,30.0,
GMP,의료기기인허가 품질경영(GMP),270,44.83,41.0,34.67
공산품안전인증,공산품안전인증시험,3316,51.72,13.0,79.14
공산품안전인증,디지털산업 일반시험,1,79.0,79.0,
기간산업,KTL마크인증,1,28.0,28.0,
기간산업,SW시험인증,60,41.8,22.0,54.0
기간산업,기계일반시험,961,20.75,13.0,25.09
기간산업,기술교육,2,6.0,6.0,1.41
기간산업,기술지도,9,10.11,7.0,7.2
기간산업,기업 납품시험,19,21.32,22.0,6.51
기간산업,문화설비,13,26.38,5.0,63.38
기간산업,방수방진분야 일반시험,1751,5.58,5.0,3.48
기간산업,방폭기기 시험,3448,11.63,10.0,11.06
기간산업,방폭기기 안전인증(KC)시험,1,5.0,5.0,
기간산업,소음진동내지진,1363,15.76,13.0,12.64
기간산업,승강기설비,27,44.11,16.0,60.19
기간산업,승강기안전일반시험,51,64.69,39.0,63.48
기간산업,시스템요소,241,17.2,13.0,17.36
기간산업,신뢰성평가,1727,19.76,11.0,29.57
기간산업,에너지기술,212,14.97,10.0,18.23
기간산업,에너지효율시험,4069,36.4,23.0,40.59
기간산업,원자력 및 제어설비평가,22,45.5,11.5,59.51
기간산업,재료시험,17596,11.57,8.0,12.23
기간산업,전자파일반시험,1,0.0,0.0,
기간산업,제어설비평가,14,18.86,7.5,22.47
기간산업,철도항공,11,4.73,2.0,6.05
기간산업,표준물질,5,6.4,6.0,0.55
기업지원,ISO 인증,1,37.0,37.0,
기업지원,KAS인증시험,4,28.5,34.0,11.0
기업지원,KTL시험,1,7.0,7.0,
기업지원,K마크 시험,162,25.39,18.0,30.58
기업지원,기술지도,1,4.0,4.0,
기업지원,디지털산업 일반시험,168,19.02,8.0,30.94
기업지원,방폭기기 시험,9,8.78,10.0,2.49
기업지원,소음진동내지진,2,14.0,14.0,2.83
기업지원,에너지효율시험,226,14.1,10.0,21.68
기업지원,외국인증시험,1973,21.74,16.0,22.63
기업지원,일반시험,44,13.05,13.0,7.12
기업지원,재료시험,49,5.57,5.0,2.64
기업지원,전기용품안전인증(KC)시험,1,0.0,0.0,
기업지원,전자파일반시험,218,22.45,17.0,19.76
기업지원,정부 납품시험,1485,9.54,7.0,10.89
기업지원,해외인증획득 지원,300,46.6,25.5,57.7
방폭인증,방폭기기 시험,646,45.54,49.0,22.96
방폭인증,방폭기기 안전인증(KC)시험,574,29.53,23.0,26.09
방폭인증,방폭기기 일반시험,5,6.2,6.0,3.49
승강기인증,승강기설비,5151,84.64,65.0,71.8
승강기인증,승강기안전인증시험,3447,85.84,67.0,69.34
전기인증,전기용품안전인증(KC)시험,193023,33.39,16.0,48.44
표준,KOLAS교정,812576,7.34,6.0,6.34
표준,KOLAS시험,344,10.65,9.5,8.21
표준,KTL교정,7319,5.09,5.0,3.26
표준,KTL시험,83818,9.19,7.0,10.66
표준,계정공통,12,10.33,12.0,3.7
표준,기술지도,54,9.61,9.0,5.85
표준,일반시험,3,35.67,4.0,57.47
표준,전기용품안전인증(KC)시험,1,12.0,12.0,
표준,환경측정기 일반시험,100,17.47,17.0,7.4
표준,환경측정기 정도검사,27,15.37,20.0,7.59
형식승인,계량기 시험검사,1444,25.61,12.0,33.21
형식승인,계량기 일반 시험검사,3,3.33,4.0,2.08
